          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.4000000E+02  1.3294953E-05 -1.3687593E-06  5.5091774E-06  9.7310925E-03  0.0000000E+00
  2.4000000E+02 -5.9780739E-01 -7.6123391E-02 -8.4302015E-02  9.3216239E-03  0.0000000E+00
  2.4000000E+02 -2.1732026E-01 -2.5486392E-03 -6.5808361E-02  8.9073861E-03  0.0000000E+00
  2.4000000E+02  4.8487752E-02  2.3131611E-02 -2.0769726E-02  7.9548646E-03  0.0000000E+00
  2.4000000E+02  1.2229769E-01  2.6838836E-02  3.1400310E-03  6.5224312E-03  0.0000000E+00
  2.4000000E+02  1.2708381E-01  2.4691107E-02  1.3723139E-02  4.8538713E-03  0.0000000E+00
  2.4000000E+02  1.0770662E-01  1.9765665E-02  1.6630639E-02  3.1280752E-03  0.0000000E+00
  2.4000000E+02  8.2114144E-02  1.2724662E-02  1.5482570E-02  1.4494507E-03  0.0000000E+00
  2.4000000E+02  5.9976364E-02  4.1944314E-03  1.2968479E-02 -1.2526683E-04  0.0000000E+00
  2.4000000E+02  4.3798015E-02 -4.5858732E-03  1.0728581E-02 -1.5657737E-03  0.0000000E+00
  2.4000000E+02  3.1368371E-02 -1.2146825E-02  9.3248423E-03 -2.8560860E-03  0.0000000E+00
  2.4000000E+02  2.0238480E-02 -1.7375884E-02  8.5449775E-03 -3.9902521E-03  0.0000000E+00
  2.4000000E+02  8.6543735E-03 -2.0073099E-02  7.7051195E-03 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -4.3215059E-03 -2.0849721E-02  6.2342052E-03 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -1.7392664E-02 -2.0698805E-02  4.0897092E-03 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -2.6166306E-02 -2.0450819E-02  1.8381711E-03 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -2.8424485E-02 -2.0388530E-02  4.1052955E-05 -7.5489571E-03  0.0000000E+00
  2.4000000E+02 -2.6091113E-02 -2.0289694E-02 -1.0570231E-03 -7.9183812E-03  0.0000000E+00
  2.4000000E+02 -2.1865738E-02 -1.9912289E-02 -1.7438053E-03 -8.1961631E-03  0.0000000E+00
  2.4000000E+02 -1.7516933E-02 -1.9059346E-02 -2.3165864E-03 -8.3874184E-03  0.0000000E+00
  2.4000000E+02 -1.3738906E-02 -1.7634771E-02 -2.9238683E-03 -8.4966252E-03  0.0000000E+00
  2.4000000E+02 -1.0483853E-02 -1.5659454E-02 -3.5327507E-03 -8.5290863E-03  0.0000000E+00
  2.4000000E+02 -7.5595809E-03 -1.3188637E-02 -3.9439572E-03 -8.4917270E-03  0.0000000E+00
  2.4000000E+02 -5.0188493E-03 -1.0376452E-02 -4.2511697E-03 -8.3936333E-03  0.0000000E+00
  2.4000000E+02 -2.6204301E-03 -7.4005928E-03 -4.2951637E-03 -8.2445001E-03  0.0000000E+00
  2.4000000E+02 -2.0036253E-04 -4.4014508E-03 -4.0616126E-03 -8.0552536E-03  0.0000000E+00
  2.4000000E+02  2.2176025E-03 -1.5942957E-03 -3.6330935E-03 -7.8369852E-03  0.0000000E+00
  2.4000000E+02  4.5760233E-03  8.7315419E-04 -3.0432645E-03 -7.5998094E-03  0.0000000E+00
  2.4000000E+02  6.8348814E-03  2.9302152E-03 -2.3304085E-03 -7.3524637E-03  0.0000000E+00
  2.4000000E+02  8.9454314E-03  4.5598744E-03 -1.5570112E-03 -7.1021535E-03  0.0000000E+00
  2.4000000E+02  1.0819049E-02  5.7716435E-03 -7.9302314E-04 -6.8545742E-03  0.0000000E+00
  2.4000000E+02  1.2363341E-02  6.5996934E-03 -6.0449836E-05 -6.6140467E-03  0.0000000E+00
  2.4000000E+02  1.3576009E-02  7.1026640E-03  6.1592692E-04 -6.3838860E-03  0.0000000E+00
  2.4000000E+02  1.4399834E-02  7.3279948E-03  1.1501620E-03 -6.1661954E-03  0.0000000E+00
  2.4000000E+02  1.4903550E-02  7.3731763E-03  1.6509159E-03 -5.9620816E-03  0.0000000E+00
  2.4000000E+02  1.5079617E-02  7.2500630E-03  2.0371013E-03 -5.7723783E-03  0.0000000E+00
  2.4000000E+02  1.4942872E-02  6.9879978E-03  2.3002276E-03 -5.5971807E-03  0.0000000E+00
  2.4000000E+02  1.4531588E-02  6.6269714E-03  2.4598693E-03 -5.4360250E-03  0.0000000E+00
