          atime          uvcov          vwcov          wucov         pm1avg           tavg
  2.4000000E+02  4.2165867E-22  1.1480015E-24  4.0543058E-24  9.7310925E-03  0.0000000E+00
  2.4000000E+02  4.2551471E-03  2.2611015E-06  9.2203462E-06  9.3216239E-03  0.0000000E+00
  2.4000000E+02  8.1760651E-03  5.3465194E-06  3.3428088E-05  8.9073861E-03  0.0000000E+00
  2.4000000E+02  8.1763126E-03  4.9006352E-06  4.9307257E-05  7.9548646E-03  0.0000000E+00
  2.4000000E+02  6.7708688E-03  2.2972647E-06  5.2698856E-05  6.5224312E-03  0.0000000E+00
  2.4000000E+02  4.9717936E-03 -9.0058672E-07  4.6151194E-05  4.8538713E-03  0.0000000E+00
  2.4000000E+02  3.1670944E-03 -3.8278787E-06  3.3094657E-05  3.1280752E-03  0.0000000E+00
  2.4000000E+02  1.4927991E-03 -6.2094677E-06  1.6991768E-05  1.4494507E-03  0.0000000E+00
  2.4000000E+02 -4.6122978E-05 -8.0142592E-06  1.4631366E-06 -1.2526683E-04  0.0000000E+00
  2.4000000E+02 -1.4985028E-03 -9.3741320E-06 -1.0488707E-05 -1.5657737E-03  0.0000000E+00
  2.4000000E+02 -2.9006158E-03 -1.0550426E-05 -1.8043861E-05 -2.8560860E-03  0.0000000E+00
  2.4000000E+02 -4.2474037E-03 -1.1937749E-05 -2.1855595E-05 -3.9902521E-03  0.0000000E+00
  2.4000000E+02 -5.4959684E-03 -1.3833268E-05 -2.1923720E-05 -4.9704063E-03  0.0000000E+00
  2.4000000E+02 -6.5945924E-03 -1.6248349E-05 -1.8248498E-05 -5.8042306E-03  0.0000000E+00
  2.4000000E+02 -7.5196035E-03 -1.8972793E-05 -1.2370901E-05 -6.5031595E-03  0.0000000E+00
  2.4000000E+02 -8.2939659E-03 -2.1774914E-05 -5.9289438E-06 -7.0805810E-03  0.0000000E+00
  2.4000000E+02 -8.9671253E-03 -2.4365571E-05  8.4767159E-07 -7.5489571E-03  0.0000000E+00
