          atime          uplus          yplus           Wshr          trash          trash
  2.4000000E+02  3.6238020E-15  9.3512918E-15  1.9249970E-03  7.0000000E-02  7.0000000E-02
  2.4000000E+02  4.2875838E-01  8.9131162E-01  1.9249970E-03  7.3978140E-02  7.3978140E-02
  2.4000000E+02  1.0658348E+00  1.9268501E+00  1.9249970E-03  7.8600000E-02  7.8600000E-02
  2.4000000E+02  1.7497058E+00  2.8902751E+00  1.9249970E-03  8.2900000E-02  8.2900000E-02
  2.4000000E+02  2.4972845E+00  3.8537002E+00  1.9249970E-03  8.7200000E-02  8.7200000E-02
  2.4000000E+02  3.2777850E+00  4.8171252E+00  1.9249970E-03  9.1500000E-02  9.1500000E-02
  2.4000000E+02  4.0665127E+00  5.7805503E+00  1.9249970E-03  9.5800000E-02  9.5800000E-02
  2.4000000E+02  4.8480631E+00  6.7439753E+00  1.9249970E-03  1.0010000E-01  1.0010000E-01
  2.4000000E+02  5.6156341E+00  7.7074004E+00  1.9249970E-03  1.0440000E-01  1.0440000E-01
  2.4000000E+02  6.3681946E+00  8.6708254E+00  1.9249970E-03  1.0870000E-01  1.0870000E-01
  2.4000000E+02  7.1056434E+00  9.6342505E+00  1.9249970E-03  1.1300000E-01  1.1300000E-01
  2.4000000E+02  7.8241002E+00  1.0597676E+01  1.9249970E-03  1.1730000E-01  1.1730000E-01
  2.4000000E+02  8.5144970E+00  1.1561101E+01  1.9249970E-03  1.2160000E-01  1.2160000E-01
  2.4000000E+02  9.1651224E+00  1.2524526E+01  1.9249970E-03  1.2590000E-01  1.2590000E-01
  2.4000000E+02  9.7665957E+00  1.3487951E+01  1.9249970E-03  1.3020000E-01  1.3020000E-01
  2.4000000E+02  1.0316484E+01  1.4451376E+01  1.9249970E-03  1.3450000E-01  1.3450000E-01
  2.4000000E+02  1.0820241E+01  1.5414801E+01  1.9249970E-03  1.3880000E-01  1.3880000E-01
  2.4000000E+02  1.1287318E+01  1.6378226E+01  1.9249970E-03  1.4310000E-01  1.4310000E-01
  2.4000000E+02  1.1726900E+01  1.7341651E+01  1.9249970E-03  1.4740000E-01  1.4740000E-01
  2.4000000E+02  1.2145858E+01  1.8305076E+01  1.9249970E-03  1.5170000E-01  1.5170000E-01
  2.4000000E+02  1.2548477E+01  1.9268501E+01  1.9249970E-03  1.5600000E-01  1.5600000E-01
  2.4000000E+02  1.2937077E+01  2.0231926E+01  1.9249970E-03  1.6030000E-01  1.6030000E-01
  2.4000000E+02  1.3312673E+01  2.1195351E+01  1.9249970E-03  1.6460000E-01  1.6460000E-01
  2.4000000E+02  1.3675252E+01  2.2158776E+01  1.9249970E-03  1.6890000E-01  1.6890000E-01
  2.4000000E+02  1.4024489E+01  2.3122201E+01  1.9249970E-03  1.7320000E-01  1.7320000E-01
  2.4000000E+02  1.4359754E+01  2.4085626E+01  1.9249970E-03  1.7750000E-01  1.7750000E-01
  2.4000000E+02  1.4680572E+01  2.5049051E+01  1.9249970E-03  1.8180000E-01  1.8180000E-01
  2.4000000E+02  1.4986702E+01  2.6012476E+01  1.9249970E-03  1.8610000E-01  1.8610000E-01
  2.4000000E+02  1.5278175E+01  2.6975901E+01  1.9249970E-03  1.9040000E-01  1.9040000E-01
  2.4000000E+02  1.5555282E+01  2.7939326E+01  1.9249970E-03  1.9470000E-01  1.9470000E-01
  2.4000000E+02  1.5818528E+01  2.8902751E+01  1.9249970E-03  1.9900000E-01  1.9900000E-01
  2.4000000E+02  1.6068572E+01  2.9866177E+01  1.9249970E-03  2.0330000E-01  2.0330000E-01
  2.4000000E+02  1.6306166E+01  3.0829602E+01  1.9249970E-03  2.0760000E-01  2.0760000E-01
  2.4000000E+02  1.6532197E+01  3.1793027E+01  1.9249970E-03  2.1190000E-01  2.1190000E-01
  2.4000000E+02  1.6747481E+01  3.2756452E+01  1.9249970E-03  2.1620000E-01  2.1620000E-01
  2.4000000E+02  1.6952862E+01  3.3719877E+01  1.9249970E-03  2.2050000E-01  2.2050000E-01
  2.4000000E+02  1.7149215E+01  3.4683302E+01  1.9249970E-03  2.2480000E-01  2.2480000E-01
  2.4000000E+02  1.7337379E+01  3.5646727E+01  1.9249970E-03  2.2910000E-01  2.2910000E-01
  2.4000000E+02  1.7518130E+01  3.6610152E+01  1.9249970E-03  2.3340000E-01  2.3340000E-01
  2.4000000E+02  1.7692181E+01  3.7573577E+01  1.9249970E-03  2.3770000E-01  2.3770000E-01
